delta_b,E,energy_type
-3.0,1.7353557014137855,original
-2.95,1.7000003623544577,original
-2.9,1.6646450232951309,original
-2.85,1.6292896842358031,original
-2.8,1.5939343451764754,original
-2.75,1.5585790061171485,original
-2.7,1.5232236670578212,original
-2.65,1.4878683279984937,original
-2.6,1.4525129889391664,original
-2.55,1.4171576498798388,original
-2.5,1.3818023108205117,original
-2.45,1.3464469717611842,original
-2.4,1.3110916327018565,original
-2.35,1.2757362936425296,original
-2.3,1.240380954583202,original
-2.25,1.205025615523875,original
-2.2,1.1696702764645475,original
-2.15,1.13431493740522,original
-2.1,1.0989595983458929,original
-2.05,1.0636042592865653,original
-2.0,1.0282489202272378,original
-1.95,0.9928935811679107,original
-1.9,0.9575382421085832,original
-1.8499999999999999,0.9221829030492557,original
-1.7999999999999998,0.8868275639899281,original
-1.75,0.8514722249306008,original
-1.7,0.8161168858712735,original
-1.65,0.7807615468119464,original
-1.5999999999999999,0.7454062077526187,original
-1.5499999999999998,0.7100508686932914,original
-1.5,0.6746955296339643,original
-1.45,0.6393401905746368,original
-1.4,0.6039848515153092,original
-1.3499999999999999,0.5686295124559819,original
-1.2999999999999998,0.5332741733966544,original
-1.25,0.4979188343373273,original
-1.2,0.4625634952779998,original
-1.15,0.4272081562186725,original
-1.0999999999999999,0.39185281715934484,original
-1.0499999999999998,0.35649747810001753,original
-1.0,0.32114213904069033,original
-0.9499999999999997,0.2857867999813627,original
-0.8999999999999999,0.2504314609220354,original
-0.8500000000000001,0.21507612186270833,original
-0.7999999999999998,0.1797207828033807,original
-0.75,0.1443654437440536,original
-0.6999999999999997,0.10901010468472597,original
-0.6499999999999999,0.07365476562539866,original
-0.5999999999999996,0.03829942656607113,original
-0.5499999999999998,0.0029440875067438255,original
-0.5,-0.03241125155258348,original
-0.44999999999999973,-0.06776659061191095,original
-0.3999999999999999,-0.10312192967123826,original
-0.34999999999999964,-0.13847726873056573,original
-0.2999999999999998,-0.17383260778989304,original
-0.25,-0.20918794684922018,original
-0.19999999999999973,-0.24454328590854776,original
-0.1499999999999999,-0.279898624967875,original
-0.09999999999999964,-0.3152539640272026,original
-0.04999999999999982,-0.35060930308652993,original
0.0,-0.38596464214585713,original
0.050000000000000266,-0.42131998120518466,original
0.10000000000000009,-0.45667532026451196,original
0.15000000000000036,-0.4920306593238395,original
0.20000000000000018,-0.5273859983831667,original
0.25,-0.562741337442494,original
0.30000000000000027,-0.5980966765018215,original
0.3500000000000001,-0.6334520155611487,original
0.40000000000000036,-0.6688073546204764,original
0.4500000000000002,-0.7041626936798036,original
0.5,-0.7395180327391309,original
0.5500000000000003,-0.7748733717984584,original
0.6000000000000001,-0.8102287108577857,original
0.6500000000000004,-0.8455840499171132,original
0.7000000000000002,-0.8809393889764405,original
0.75,-0.9162947280357678,original
0.8000000000000003,-0.9516500670950951,original
0.8500000000000001,-0.9870054061544224,original
0.9000000000000004,-1.0223607452137502,original
0.9500000000000002,-1.0577160842730775,original
1.0,-1.0930714233324046,original
1.0499999999999998,-1.1284267623917317,original
1.1000000000000005,-1.1637821014510599,original
1.1500000000000004,-1.199137440510387,original
1.2000000000000002,-1.2344927795697145,original
1.25,-1.2698481186290413,original
1.2999999999999998,-1.3052034576883687,original
1.3500000000000005,-1.3405587967476968,original
1.4000000000000004,-1.3759141358070237,original
1.4500000000000002,-1.411269474866351,original
1.5,-1.4466248139256783,original
1.5499999999999998,-1.4819801529850056,original
1.6000000000000005,-1.5173354920443332,original
1.6500000000000004,-1.5526908311036605,original
1.7000000000000002,-1.588046170162988,original
1.75,-1.623401509222315,original
1.8000000000000007,-1.658756848281643,original
1.8500000000000005,-1.6941121873409704,original
1.9000000000000004,-1.7294675264002977,original
1.9500000000000002,-1.7648228654596247,original
2.0,-1.800178204518952,original
2.0500000000000007,-1.83553354357828,original
2.1000000000000005,-1.870888882637607,original
2.1500000000000004,-1.9062442216969342,original
2.2,-1.9415995607562615,original
2.25,-1.9769548998155893,original
2.3000000000000007,-2.0123102388749166,original
2.3500000000000005,-2.047665577934244,original
2.4000000000000004,-2.083020916993571,original
2.45,-2.1183762560528985,original
2.5,-2.153731595112226,original
2.5500000000000007,-2.189086934171554,original
2.6000000000000005,-2.224442273230881,original
2.6500000000000004,-2.259797612290208,original
2.7,-2.2951529513495355,original
2.75,-2.3305082904088623,original
2.8000000000000007,-2.3658636294681905,original
2.8500000000000005,-2.4012189685275174,original
2.9000000000000004,-2.436574307586845,original
2.95,-2.471929646646172,original
3.0,-2.5072849857054997,original
-3.0,5.16421977680846,modified
-2.95,5.011115200910559,modified
-2.9,4.860510625012656,modified
-2.85,4.712406049114755,modified
-2.8,4.5668014732168505,modified
-2.75,4.4236968973189486,modified
-2.7,4.283092321421047,modified
-2.65,4.144987745523145,modified
-2.6,4.009383169625242,modified
-2.55,3.8762785937273394,modified
-2.5,3.745674017829437,modified
-2.45,3.6175694419315354,modified
-2.4,3.4919648660336327,modified
-2.35,3.368860290135731,modified
-2.3,3.248255714237828,modified
-2.25,3.1301511383399268,modified
-2.2,3.0145465624420247,modified
-2.15,2.9014419865441217,modified
-2.1,2.7908374106462195,modified
-2.05,2.6827328347483173,modified
-2.0,2.577128258850415,modified
-1.95,2.4740236829525135,modified
-1.9,2.3734191070546102,modified
-1.8499999999999999,2.275314531156708,modified
-1.7999999999999998,2.1797099552588057,modified
-1.75,2.086605379360904,modified
-1.7,1.9960008034630017,modified
-1.65,1.9078962275650997,modified
-1.5999999999999999,1.8222916516671965,modified
-1.5499999999999998,1.7391870757692947,modified
-1.5,1.6585824998713925,modified
-1.45,1.5804779239734903,modified
-1.4,1.504873348075588,modified
-1.3499999999999999,1.4317687721776853,modified
-1.2999999999999998,1.3611641962797831,modified
-1.25,1.293059620381881,modified
-1.2,1.227455044483979,modified
-1.15,1.1643504685860768,modified
-1.0999999999999999,1.1037458926881742,modified
-1.0499999999999998,1.0456413167902718,modified
-1.0,0.99003674089237,modified
-0.9499999999999997,0.9369321649944675,modified
-0.8999999999999999,0.8863275890965654,modified
-0.8500000000000001,0.8382230131986632,modified
-0.7999999999999998,0.7926184373007608,modified
-0.75,0.7495138614028589,modified
-0.6999999999999997,0.7089092855049561,modified
-0.6499999999999999,0.6708047096070541,modified
-0.5999999999999996,0.6352001337091518,modified
-0.5499999999999998,0.6020955578112497,modified
-0.5,0.5714909819133476,modified
-0.44999999999999973,0.5433864060154452,modified
-0.3999999999999999,0.517781830117543,modified
-0.34999999999999964,0.4946772542196406,modified
-0.2999999999999998,0.4740726783217384,modified
-0.25,0.4559681024238362,modified
-0.19999999999999973,0.4403635265259339,modified
-0.1499999999999999,0.42725895062803176,modified
-0.09999999999999964,0.4166543747301294,modified
-0.04999999999999982,0.4085497988322272,modified
0.0,0.40294522293432494,modified
0.050000000000000266,0.3998406470364227,modified
0.10000000000000009,0.39923607113852044,modified
0.15000000000000036,0.4011314952406182,modified
0.20000000000000018,0.405526919342716,modified
0.25,0.41242234344481365,modified
0.30000000000000027,0.4218177675469115,modified
0.3500000000000001,0.4337131916490092,modified
0.40000000000000036,0.44810861575110694,modified
0.4500000000000002,0.4650040398532047,modified
0.5,0.4843994639553023,modified
0.5500000000000003,0.5062948880574003,modified
0.6000000000000001,0.5306903121594979,modified
0.6500000000000004,0.5575857362615957,modified
0.7000000000000002,0.5869811603636934,modified
0.75,0.6188765844657911,modified
0.8000000000000003,0.6532720085678888,modified
0.8500000000000001,0.6901674326699865,modified
0.9000000000000004,0.7295628567720847,modified
0.9500000000000002,0.7714582808741823,modified
1.0,0.8158537049762796,modified
1.0499999999999998,0.862749129078377,modified
1.1000000000000005,0.9121445531804759,modified
1.1500000000000004,0.9640399772825733,modified
1.2000000000000002,1.0184354013846708,modified
1.25,1.0753308254867682,modified
1.2999999999999998,1.1347262495888657,modified
1.3500000000000005,1.1966216736909645,modified
1.4000000000000004,1.2610170977930617,modified
1.4500000000000002,1.3279125218951593,modified
1.5,1.397307945997257,modified
1.5499999999999998,1.4692033700993545,modified
1.6000000000000005,1.543598794201453,modified
1.6500000000000004,1.6204942183035507,modified
1.7000000000000002,1.6998896424056482,modified
1.75,1.7817850665077457,modified
1.8000000000000007,1.8661804906098445,modified
1.8500000000000005,1.953075914711942,modified
1.9000000000000004,2.0424713388140394,modified
1.9500000000000002,2.134366762916137,modified
2.0,2.2287621870182344,modified
2.0500000000000007,2.3256576111203335,modified
2.1000000000000005,2.425053035222431,modified
2.1500000000000004,2.5269484593245286,modified
2.2,2.631343883426626,modified
2.25,2.7382393075287235,modified
2.3000000000000007,2.8476347316308224,modified
2.3500000000000005,2.95953015573292,modified
2.4000000000000004,3.0739255798350174,modified
2.45,3.190821003937114,modified
2.5,3.3102164280392117,modified
2.5500000000000007,3.4321118521413116,modified
2.6000000000000005,3.556507276243408,modified
2.6500000000000004,3.6834027003455057,modified
2.7,3.812798124447603,modified
2.75,3.9446935485497,modified
2.8000000000000007,4.0790889726518,modified
2.8500000000000005,4.215984396753896,modified
2.9000000000000004,4.355379820855994,modified
2.95,4.497275244958091,modified
3.0,4.641670669060189,modified
