c,E,E_minus_E0,y1,y2,energy_type
-4.0,-0.38596464214585735,-2.220446049250313e-16,-3.7,-4.7,original
-3.92,-0.38596464214585735,-2.220446049250313e-16,-3.62,-4.62,original
-3.84,-0.38596464214585735,-2.220446049250313e-16,-3.54,-4.54,original
-3.76,-0.38596464214585735,-2.220446049250313e-16,-3.46,-4.46,original
-3.68,-0.38596464214585735,-2.220446049250313e-16,-3.3800000000000003,-4.38,original
-3.6,-0.38596464214585735,-2.220446049250313e-16,-3.3000000000000003,-4.3,original
-3.52,-0.3859646421458569,2.220446049250313e-16,-3.22,-4.22,original
-3.44,-0.38596464214585735,-2.220446049250313e-16,-3.14,-4.14,original
-3.36,-0.38596464214585735,-2.220446049250313e-16,-3.06,-4.06,original
-3.2800000000000002,-0.3859646421458569,2.220446049250313e-16,-2.9800000000000004,-3.9800000000000004,original
-3.2,-0.3859646421458569,2.220446049250313e-16,-2.9000000000000004,-3.9000000000000004,original
-3.12,-0.38596464214585735,-2.220446049250313e-16,-2.8200000000000003,-3.8200000000000003,original
-3.04,-0.38596464214585735,-2.220446049250313e-16,-2.74,-3.74,original
-2.96,-0.3859646421458569,2.220446049250313e-16,-2.66,-3.66,original
-2.88,-0.38596464214585735,-2.220446049250313e-16,-2.58,-3.58,original
-2.8,-0.38596464214585735,-2.220446049250313e-16,-2.5,-3.5,original
-2.7199999999999998,-0.38596464214585735,-2.220446049250313e-16,-2.42,-3.42,original
-2.6399999999999997,-0.38596464214585735,-2.220446049250313e-16,-2.34,-3.34,original
-2.56,-0.38596464214585735,-2.220446049250313e-16,-2.2600000000000002,-3.26,original
-2.48,-0.38596464214585735,-2.220446049250313e-16,-2.18,-3.1799999999999997,original
-2.4,-0.3859646421458569,2.220446049250313e-16,-2.1,-3.0999999999999996,original
-2.3200000000000003,-0.38596464214585713,0.0,-2.0200000000000005,-3.0200000000000005,original
-2.24,-0.3859646421458569,2.220446049250313e-16,-1.9400000000000002,-2.9400000000000004,original
-2.16,-0.3859646421458569,2.220446049250313e-16,-1.86,-2.8600000000000003,original
-2.08,-0.3859646421458569,2.220446049250313e-16,-1.78,-2.7800000000000002,original
-2.0,-0.3859646421458569,2.220446049250313e-16,-1.7,-2.7,original
-1.92,-0.3859646421458569,2.220446049250313e-16,-1.6199999999999999,-2.62,original
-1.8399999999999999,-0.3859646421458569,2.220446049250313e-16,-1.5399999999999998,-2.54,original
-1.7599999999999998,-0.3859646421458569,2.220446049250313e-16,-1.4599999999999997,-2.46,original
-1.6800000000000002,-0.38596464214585713,0.0,-1.3800000000000001,-2.38,original
-1.6,-0.385964642145857,1.1102230246251565e-16,-1.3,-2.3,original
-1.52,-0.38596464214585724,-1.1102230246251565e-16,-1.22,-2.2199999999999998,original
-1.44,-0.38596464214585724,-1.1102230246251565e-16,-1.14,-2.1399999999999997,original
-1.3599999999999999,-0.38596464214585724,-1.1102230246251565e-16,-1.0599999999999998,-2.0599999999999996,original
-1.2799999999999998,-0.38596464214585713,0.0,-0.9799999999999998,-1.9799999999999998,original
-1.1999999999999997,-0.38596464214585713,0.0,-0.8999999999999997,-1.8999999999999997,original
-1.12,-0.38596464214585713,0.0,-0.8200000000000001,-1.82,original
-1.04,-0.38596464214585713,0.0,-0.74,-1.74,original
-0.96,-0.38596464214585713,0.0,-0.6599999999999999,-1.66,original
-0.8799999999999999,-0.38596464214585713,0.0,-0.5799999999999998,-1.5799999999999998,original
-0.7999999999999998,-0.38596464214585713,0.0,-0.49999999999999983,-1.4999999999999998,original
-0.7199999999999998,-0.38596464214585713,0.0,-0.41999999999999976,-1.4199999999999997,original
-0.6400000000000001,-0.38596464214585713,0.0,-0.34000000000000014,-1.34,original
-0.56,-0.38596464214585713,0.0,-0.26000000000000006,-1.26,original
-0.48,-0.38596464214585713,0.0,-0.18,-1.18,original
-0.3999999999999999,-0.38596464214585713,0.0,-0.09999999999999992,-1.0999999999999999,original
-0.31999999999999984,-0.38596464214585713,0.0,-0.01999999999999985,-1.0199999999999998,original
-0.23999999999999977,-0.38596464214585713,0.0,0.06000000000000022,-0.9399999999999997,original
-0.16000000000000014,-0.38596464214585713,0.0,0.13999999999999985,-0.8600000000000001,original
-0.08000000000000007,-0.38596464214585713,0.0,0.21999999999999992,-0.78,original
0.0,-0.38596464214585713,0.0,0.3,-0.7,original
0.08000000000000007,-0.38596464214585713,0.0,0.38000000000000006,-0.6199999999999999,original
0.16000000000000014,-0.38596464214585713,0.0,0.46000000000000013,-0.5399999999999998,original
0.2400000000000002,-0.38596464214585713,0.0,0.5400000000000003,-0.45999999999999974,original
0.3200000000000003,-0.38596464214585713,0.0,0.6200000000000003,-0.37999999999999967,original
0.40000000000000036,-0.38596464214585713,0.0,0.7000000000000004,-0.2999999999999996,original
0.4800000000000004,-0.385964642145857,1.1102230246251565e-16,0.7800000000000005,-0.21999999999999953,original
0.5600000000000005,-0.38596464214585713,0.0,0.8600000000000005,-0.13999999999999946,original
0.6399999999999997,-0.38596464214585713,0.0,0.9399999999999997,-0.060000000000000275,original
0.7199999999999998,-0.385964642145857,1.1102230246251565e-16,1.0199999999999998,0.019999999999999796,original
0.7999999999999998,-0.385964642145857,1.1102230246251565e-16,1.0999999999999999,0.09999999999999987,original
0.8799999999999999,-0.385964642145857,1.1102230246251565e-16,1.18,0.17999999999999994,original
0.96,-0.3859646421458569,2.220446049250313e-16,1.26,0.26,original
1.04,-0.38596464214585713,0.0,1.34,0.3400000000000001,original
1.12,-0.3859646421458569,2.220446049250313e-16,1.4200000000000002,0.42000000000000015,original
1.2000000000000002,-0.3859646421458569,2.220446049250313e-16,1.5000000000000002,0.5000000000000002,original
1.2800000000000002,-0.3859646421458569,2.220446049250313e-16,1.5800000000000003,0.5800000000000003,original
1.3600000000000003,-0.38596464214585713,0.0,1.6600000000000004,0.6600000000000004,original
1.4400000000000004,-0.38596464214585713,0.0,1.7400000000000004,0.7400000000000004,original
1.5200000000000005,-0.3859646421458569,2.220446049250313e-16,1.8200000000000005,0.8200000000000005,original
1.6000000000000005,-0.3859646421458569,2.220446049250313e-16,1.9000000000000006,0.9000000000000006,original
1.6799999999999997,-0.38596464214585713,0.0,1.9799999999999998,0.9799999999999998,original
1.7599999999999998,-0.38596464214585713,0.0,2.0599999999999996,1.0599999999999998,original
1.8399999999999999,-0.38596464214585713,0.0,2.1399999999999997,1.14,original
1.92,-0.38596464214585735,-2.220446049250313e-16,2.2199999999999998,1.22,original
2.0,-0.38596464214585735,-2.220446049250313e-16,2.3,1.3,original
2.08,-0.3859646421458569,2.220446049250313e-16,2.38,1.3800000000000001,original
2.16,-0.3859646421458569,2.220446049250313e-16,2.46,1.4600000000000002,original
2.24,-0.3859646421458569,2.220446049250313e-16,2.54,1.5400000000000003,original
2.3200000000000003,-0.38596464214585735,-2.220446049250313e-16,2.62,1.6200000000000003,original
2.4000000000000004,-0.3859646421458569,2.220446049250313e-16,2.7,1.7000000000000004,original
2.4800000000000004,-0.3859646421458569,2.220446049250313e-16,2.7800000000000002,1.7800000000000005,original
2.5600000000000005,-0.3859646421458569,2.220446049250313e-16,2.8600000000000003,1.8600000000000005,original
2.6400000000000006,-0.3859646421458569,2.220446049250313e-16,2.9400000000000004,1.9400000000000006,original
2.7199999999999998,-0.38596464214585735,-2.220446049250313e-16,3.0199999999999996,2.0199999999999996,original
2.8,-0.38596464214585735,-2.220446049250313e-16,3.0999999999999996,2.0999999999999996,original
2.88,-0.38596464214585735,-2.220446049250313e-16,3.1799999999999997,2.1799999999999997,original
2.96,-0.38596464214585735,-2.220446049250313e-16,3.26,2.26,original
3.04,-0.3859646421458569,2.220446049250313e-16,3.34,2.34,original
3.12,-0.3859646421458569,2.220446049250313e-16,3.42,2.42,original
3.2,-0.3859646421458569,2.220446049250313e-16,3.5,2.5,original
3.2800000000000002,-0.38596464214585735,-2.220446049250313e-16,3.58,2.58,original
3.3600000000000003,-0.38596464214585735,-2.220446049250313e-16,3.66,2.66,original
3.4400000000000004,-0.3859646421458569,2.220446049250313e-16,3.74,2.74,original
3.5200000000000005,-0.3859646421458569,2.220446049250313e-16,3.8200000000000003,2.8200000000000003,original
3.6000000000000005,-0.3859646421458569,2.220446049250313e-16,3.9000000000000004,2.9000000000000004,original
3.6799999999999997,-0.3859646421458569,2.220446049250313e-16,3.9799999999999995,2.9799999999999995,original
3.76,-0.3859646421458569,2.220446049250313e-16,4.06,3.0599999999999996,original
3.84,-0.3859646421458569,2.220446049250313e-16,4.14,3.1399999999999997,original
3.92,-0.3859646421458569,2.220446049250313e-16,4.22,3.2199999999999998,original
4.0,-0.3859646421458569,2.220446049250313e-16,4.3,3.3,original
-4.0,15.910281199478618,15.507335976544294,-3.7,-4.7,modified
-3.92,15.286534479947731,14.883589257013407,-3.62,-4.62,modified
