x1,x2,rank_Lambda,nullity_Lambda,active_dim,smith_applicable,lambda1_plus_lambda2
-3.0,-3.0,1,1,1,False,-0.7307128035982656
-3.0,-2.9,1,1,1,False,-0.7290732318976367
-3.0,-2.8,1,1,1,False,-0.7299328373955304
-3.0,-2.7,1,1,1,False,-0.7332452520714127
-3.0,-2.6,1,1,1,False,-0.7388978575662009
-3.0,-2.5,1,1,1,False,-0.7467180560549733
-3.0,-2.4,1,1,1,False,-0.7564823250039152
-3.0,-2.3,1,1,1,False,-0.7679273259508789
-3.0,-2.2,1,1,1,False,-0.7807622286470917
-3.0,-2.1,1,1,1,False,-0.7946813859183164
-3.0,-2.0,1,1,1,False,-0.8093765447858556
-3.0,-1.9,1,1,1,False,-0.8245479129476152
-3.0,-1.7999999999999998,1,1,1,False,-0.8399135648096133
-3.0,-1.7,1,1,1,False,-0.8552168643261027
-3.0,-1.5999999999999999,1,1,1,False,-0.8702317699782469
-3.0,-1.5,1,1,1,False,-0.8847660589172966
-3.0,-1.4,1,1,1,False,-0.8986626369722471
-3.0,-1.2999999999999998,1,1,1,False,-0.9117991960905235
-3.0,-1.2,1,1,1,False,-0.9240865434523293
-3.0,-1.0999999999999999,1,1,1,False,-0.9354659317173384
-3.0,-1.0,1,1,1,False,-0.9459057197513943
-3.0,-0.8999999999999999,1,1,1,False,-0.9553976632048489
-3.0,-0.7999999999999998,1,1,1,False,-0.9639530687555187
-3.0,-0.6999999999999997,1,1,1,False,-0.9715990321734759
-3.0,-0.5999999999999996,1,1,1,False,-0.9783748887715049
-3.0,-0.5,1,1,1,False,-0.9843289868194383
-3.0,-0.3999999999999999,1,1,1,False,-0.9895158440964555
-3.0,-0.2999999999999998,1,1,1,False,-0.9939937062330982
-3.0,-0.19999999999999973,1,1,1,False,-0.9978225101736626
-3.0,-0.09999999999999964,1,1,1,False,-1.0010622357170538
-3.0,0.0,1,1,1,False,-1.0037716116073623
-3.0,0.10000000000000009,1,1,1,False,-1.006007136247766
-3.0,0.20000000000000018,1,1,1,False,-1.007822368170874
-3.0,0.30000000000000027,1,1,1,False,-1.0092674533682122
-3.0,0.40000000000000036,1,1,1,False,-1.0103888381969572
-3.0,0.5,1,1,1,False,-1.0112291367382369
-3.0,0.6000000000000001,1,1,1,False,-1.0118271184696157
-3.0,0.7000000000000002,1,1,1,False,-1.0122177861102142
-3.0,0.8000000000000003,1,1,1,False,-1.0124325207361287
-3.0,0.9000000000000004,1,1,1,False,-1.0124992772253538
-3.0,1.0,1,1,1,False,-1.0124428030111596
-3.0,1.1000000000000005,1,1,1,False,-1.0122848785876215
-3.0,1.2000000000000002,1,1,1,False,-1.012044565013026
-3.0,1.2999999999999998,1,1,1,False,-1.0117384514063408
-3.0,1.4000000000000004,1,1,1,False,-1.0113808921741185
-3.0,1.5,1,1,1,False,-1.0109842366601283
-3.0,1.6000000000000005,1,1,1,False,-1.01055904694336
-3.0,1.7000000000000002,1,1,1,False,-1.0101142978724553
-3.0,1.8000000000000007,1,1,1,False,-1.0096575629447992
-3.0,1.9000000000000004,1,1,1,False,-1.0091951835877744
-3.0,2.0,1,1,1,False,-1.0087324240348747
-3.0,2.1000000000000005,1,1,1,False,-1.008273610991761
-3.0,2.2,1,1,1,False,-1.0078222559828376
-3.0,2.3000000000000007,1,1,1,False,-1.0073811695932022
-3.0,2.4000000000000004,1,1,1,False,-1.0069525581690717
-3.0,2.5,1,1,1,False,-1.0065381119694903
-3.0,2.6000000000000005,1,1,1,False,-1.0061390818272284
-3.0,2.7,1,1,1,False,-1.0057563479826113
-3.0,2.8000000000000007,1,1,1,False,-1.005390476871426
-3.0,2.9000000000000004,1,1,1,False,-1.0050417764695396
-3.0,3.0,1,1,1,False,-1.0047103342625263
-2.9,-3.0,1,1,1,False,-0.7348287116570873
-2.9,-2.9,1,1,1,False,-0.7307128035982655
-2.9,-2.8,1,1,1,False,-0.7290732318976367
-2.9,-2.7,1,1,1,False,-0.7299328378396196
-2.9,-2.6,1,1,1,False,-0.7332452521824351
-2.9,-2.5,1,1,1,False,-0.738897857233134
-2.9,-2.4,1,1,1,False,-0.7467180563880402
-2.9,-2.3,1,1,1,False,-0.7564823244488038
-2.9,-2.2,1,1,1,False,-0.7679273255067897
-2.9,-2.1,1,1,1,False,-0.780762228758114
-2.9,-2.0,1,1,1,False,-0.7946813858072942
-2.9,-1.9,1,1,1,False,-0.8093765447858556
-2.9,-1.7999999999999998,1,1,1,False,-0.8245479127255705
-2.9,-1.7,1,1,1,False,-0.839913564698591
-2.9,-1.5999999999999999,1,1,1,False,-0.8552168644926361
-2.9,-1.5,1,1,1,False,-0.8702317699227357
-2.9,-1.4,1,1,1,False,-0.8847660589728078
-2.9,-1.2999999999999998,1,1,1,False,-0.8986626368057136
-2.9,-1.2,1,1,1,False,-0.9117991961460347
-2.9,-1.0999999999999999,1,1,1,False,-0.9240865435078405
-2.9,-1.0,1,1,1,False,-0.9354659316618272
-2.9,-0.8999999999999999,1,1,1,False,-0.9459057196958831
-2.9,-0.7999999999999998,1,1,1,False,-0.9553976631493377
-2.9,-0.6999999999999997,1,1,1,False,-0.9639530688665409
-2.9,-0.5999999999999996,1,1,1,False,-0.9715990323400094
-2.9,-0.5,1,1,1,False,-0.9783748883829266
-2.9,-0.3999999999999999,1,1,1,False,-0.9843289866251493
-2.9,-0.2999999999999998,1,1,1,False,-0.9895158440687001
-2.9,-0.19999999999999973,1,1,1,False,-0.9939937062608538
-2.9,-0.09999999999999964,1,1,1,False,-0.9978225101459071
-2.9,0.0,1,1,1,False,-1.0010622357170538
-2.9,0.10000000000000009,1,1,1,False,-1.0037716116351179
-2.9,0.20000000000000018,1,1,1,False,-1.0060071362616438
-2.9,0.30000000000000027,1,1,1,False,-1.0078223681569962
-2.9,0.40000000000000036,1,1,1,False,-1.009267453375151
