x1,x2,rank_Lambda,nullity_Lambda,active_dim,smith_applicable,lambda1_plus_lambda2
-3.0,-3.0,1,1,1,False,-0.854817409455885
-3.0,-2.9,1,1,1,False,-0.8551797618606506
-3.0,-2.8,1,1,1,False,-0.8562596110843654
-3.0,-2.7,1,1,1,False,-0.8580356361147873
-3.0,-2.6,1,1,1,False,-0.8604732901087355
-3.0,-2.5,1,1,1,False,-0.8635262091003555
-3.0,-2.4,1,1,1,False,-0.8671380451793391
-3.0,-2.3,1,1,1,False,-0.8712446027933093
-3.0,-2.2,1,1,1,False,-0.8757761444667129
-3.0,-2.1,1,1,1,False,-0.8806597320897535
-3.0,-2.0,1,1,1,False,-0.8858214808004602
-3.0,-1.9,1,1,1,False,-0.8911886219894087
-3.0,-1.7999999999999998,1,1,1,False,-0.8966912970540017
-3.0,-1.7,1,1,1,False,-0.9022640310096375
-3.0,-1.5999999999999999,1,1,1,False,-0.9078468620054373
-3.0,-1.5,1,1,1,False,-0.9133861268718615
-3.0,-1.4,1,1,1,False,-0.9188349224915581
-3.0,-1.2999999999999998,1,1,1,False,-0.924153277261987
-3.0,-1.2,1,1,1,False,-0.9293080761275794
-3.0,-1.0999999999999999,1,1,1,False,-0.9342727870475931
-3.0,-1.0,1,1,1,False,-0.9390270371224165
-3.0,-0.8999999999999999,1,1,1,False,-0.9435560838794987
-3.0,-0.7999999999999998,1,1,1,False,-0.9478502223929957
-3.0,-0.6999999999999997,1,1,1,False,-0.9519041628661694
-3.0,-0.5999999999999996,1,1,1,False,-0.9557164067828522
-3.0,-0.5,1,1,1,False,-0.9592886433008436
-3.0,-0.3999999999999999,1,1,1,False,-0.9626251816105921
-3.0,-0.2999999999999998,1,1,1,False,-0.9657324297580113
-3.0,-0.19999999999999973,1,1,1,False,-0.9686184260461917
-3.0,-0.09999999999999964,1,1,1,False,-0.9712924256077481
-3.0,0.0,1,1,1,False,-0.9737645420325446
-3.0,0.10000000000000009,1,1,1,False,-0.9760454419590643
-3.0,0.20000000000000018,1,1,1,False,-0.9781460891856708
-3.0,0.30000000000000027,1,1,1,False,-0.9800775340184957
-3.0,0.40000000000000036,1,1,1,False,-0.9818507431378515
-3.0,0.5,1,1,1,False,-0.9834764651373056
-3.0,0.6000000000000001,1,1,1,False,-0.9849651269846046
-3.0,0.7000000000000002,1,1,1,False,-0.9863267569015574
-3.0,0.8000000000000003,1,1,1,False,-0.987570929504812
-3.0,0.9000000000000004,1,1,1,False,-0.9887067294478086
-3.0,1.0,1,1,1,False,-0.9897427302237388
-3.0,1.1000000000000005,1,1,1,False,-0.9906869852068209
-3.0,1.2000000000000002,1,1,1,False,-0.9915470284088159
-3.0,1.2999999999999998,1,1,1,False,-0.9923298827993806
-3.0,1.4000000000000004,1,1,1,False,-0.9930420743768444
-3.0,1.5,1,1,1,False,-0.9936896504779194
-3.0,1.6000000000000005,1,1,1,False,-0.9942782010804279
-3.0,1.7000000000000002,1,1,1,False,-0.9948128820837344
-3.0,1.8000000000000007,1,1,1,False,-0.9952984397495315
-3.0,1.9000000000000004,1,1,1,False,-0.995739235653743
-3.0,2.0,1,1,1,False,-0.9961392716418024
-3.0,2.1000000000000005,1,1,1,False,-0.996502214397434
-3.0,2.2,1,1,1,False,-0.9968314193324885
-3.0,2.3000000000000007,1,1,1,False,-0.9971299535851007
-3.0,2.4000000000000004,1,1,1,False,-0.997400617978105
-3.0,2.5,1,1,1,False,-0.9976459678415299
-3.0,2.6000000000000005,1,1,1,False,-0.9978683326442261
-3.0,2.7,1,1,1,False,-0.9980698344119618
-3.0,2.8000000000000007,1,1,1,False,-0.9982524049342869
-3.0,2.9000000000000004,1,1,1,False,-0.9984178017813574
-3.0,3.0,1,1,1,False,-0.998567623165917
-2.9,-3.0,1,1,1,False,-0.8551797618606506
-2.9,-2.9,1,1,1,False,-0.854817409455885
-2.9,-2.8,1,1,1,False,-0.8551797618606506
-2.9,-2.7,1,1,1,False,-0.8562596110843654
-2.9,-2.6,1,1,1,False,-0.8580356361147873
-2.9,-2.5,1,1,1,False,-0.8604732901087355
-2.9,-2.4,1,1,1,False,-0.8635262091003555
-2.9,-2.3,1,1,1,False,-0.8671380451793391
-2.9,-2.2,1,1,1,False,-0.8712446027933092
-2.9,-2.1,1,1,1,False,-0.8757761444667129
-2.9,-2.0,1,1,1,False,-0.8806597320897535
-2.9,-1.9,1,1,1,False,-0.8858214808004602
-2.9,-1.7999999999999998,1,1,1,False,-0.8911886219894087
-2.9,-1.7,1,1,1,False,-0.8966912970540016
-2.9,-1.5999999999999999,1,1,1,False,-0.9022640310096375
-2.9,-1.5,1,1,1,False,-0.9078468620054372
-2.9,-1.4,1,1,1,False,-0.9133861268718615
-2.9,-1.2999999999999998,1,1,1,False,-0.9188349224915581
-2.9,-1.2,1,1,1,False,-0.924153277261987
-2.9,-1.0999999999999999,1,1,1,False,-0.9293080761275794
-2.9,-1.0,1,1,1,False,-0.9342727870475931
-2.9,-0.8999999999999999,1,1,1,False,-0.9390270371224165
-2.9,-0.7999999999999998,1,1,1,False,-0.9435560838794987
-2.9,-0.6999999999999997,1,1,1,False,-0.9478502223929957
-2.9,-0.5999999999999996,1,1,1,False,-0.9519041628661694
-2.9,-0.5,1,1,1,False,-0.9557164067828521
-2.9,-0.3999999999999999,1,1,1,False,-0.9592886433008436
-2.9,-0.2999999999999998,1,1,1,False,-0.9626251816105921
-2.9,-0.19999999999999973,1,1,1,False,-0.9657324297580113
-2.9,-0.09999999999999964,1,1,1,False,-0.9686184260461917
-2.9,0.0,1,1,1,False,-0.9712924256077481
-2.9,0.10000000000000009,1,1,1,False,-0.9737645420325446
-2.9,0.20000000000000018,1,1,1,False,-0.9760454419590643
-2.9,0.30000000000000027,1,1,1,False,-0.9781460891856708
-2.9,0.40000000000000036,1,1,1,False,-0.9800775340184957
-2.9,0.5,1,1,1,False,-0.9818507431378513
-2.9,0.6000000000000001,1,1,1,False,-0.9834764651373056
-2.9,0.7000000000000002,1,1,1,False,-0.9849651269846046
-2.9,0.8000000000000003,1,1,1,False,-0.9863267569015574
-2.9,0.9000000000000004,1,1,1,False,-0.987570929504812
-2.9,1.0,1,1,1,False,-0.9887067294478086
-2.9,1.1000000000000005,1,1,1,False,-0.9897427302237388
-2.9,1.2000000000000002,1,1,1,False,-0.9906869852068209
-2.9,1.2999999999999998,1,1,1,False,-0.9915470284088158
-2.9,1.4000000000000004,1,1,1,False,-0.9923298827993808
-2.9,1.5,1,1,1,False,-0.9930420743768444
-2.9,1.6000000000000005,1,1,1,False,-0.9936896504779194
-2.9,1.7000000000000002,1,1,1,False,-0.9942782010804275
-2.9,1.8000000000000007,1,1,1,False,-0.9948128820837345
-2.9,1.9000000000000004,1,1,1,False,-0.9952984397495315
-2.9,2.0,1,1,1,False,-0.995739235653743
-2.9,2.1000000000000005,1,1,1,False,-0.9961392716418024
-2.9,2.2,1,1,1,False,-0.9965022143974344
-2.9,2.3000000000000007,1,1,1,False,-0.9968314193324885
-2.9,2.4000000000000004,1,1,1,False,-0.9971299535851007
-2.9,2.5,1,1,1,False,-0.997400617978105
-2.9,2.6000000000000005,1,1,1,False,-0.9976459678415299
-2.9,2.7,1,1,1,False,-0.9978683326442261
-2.9,2.8000000000000007,1,1,1,False,-0.998069834411962
-2.9,2.9000000000000004,1,1,1,False,-0.9982524049342869
-2.9,3.0,1,1,1,False,-0.9984178017813574
-2.8,-3.0,1,1,1,False,-0.8562596110843654
-2.8,-2.9,1,1,1,False,-0.8551797618606506
-2.8,-2.8,1,1,1,False,-0.854817409455885
-2.8,-2.7,1,1,1,False,-0.8551797618606506
-2.8,-2.6,1,1,1,False,-0.8562596110843654
-2.8,-2.5,1,1,1,False,-0.8580356361147873
-2.8,-2.4,1,1,1,False,-0.8604732901087355
-2.8,-2.3,1,1,1,False,-0.8635262091003555
-2.8,-2.2,1,1,1,False,-0.867138045179339
-2.8,-2.1,1,1,1,False,-0.8712446027933092
-2.8,-2.0,1,1,1,False,-0.8757761444667129
-2.8,-1.9,1,1,1,False,-0.8806597320897535
-2.8,-1.7999999999999998,1,1,1,False,-0.8858214808004602
-2.8,-1.7,1,1,1,False,-0.8911886219894087
-2.8,-1.5999999999999999,1,1,1,False,-0.8966912970540016
-2.8,-1.5,1,1,1,False,-0.9022640310096374
-2.8,-1.4,1,1,1,False,-0.9078468620054372
-2.8,-1.2999999999999998,1,1,1,False,-0.9133861268718615
-2.8,-1.2,1,1,1,False,-0.9188349224915581
-2.8,-1.0999999999999999,1,1,1,False,-0.924153277261987
-2.8,-1.0,1,1,1,False,-0.9293080761275793
-2.8,-0.8999999999999999,1,1,1,False,-0.9342727870475931
-2.8,-0.7999999999999998,1,1,1,False,-0.9390270371224165
-2.8,-0.6999999999999997,1,1,1,False,-0.9435560838794987
-2.8,-0.5999999999999996,1,1,1,False,-0.9478502223929957
-2.8,-0.5,1,1,1,False,-0.9519041628661691
-2.8,-0.3999999999999999,1,1,1,False,-0.9557164067828521
-2.8,-0.2999999999999998,1,1,1,False,-0.9592886433008436
-2.8,-0.19999999999999973,1,1,1,False,-0.9626251816105921
-2.8,-0.09999999999999964,1,1,1,False,-0.9657324297580113
-2.8,0.0,1,1,1,False,-0.9686184260461917
-2.8,0.10000000000000009,1,1,1,False,-0.9712924256077481
-2.8,0.20000000000000018,1,1,1,False,-0.9737645420325446
-2.8,0.30000000000000027,1,1,1,False,-0.9760454419590643
-2.8,0.40000000000000036,1,1,1,False,-0.9781460891856708
-2.8,0.5,1,1,1,False,-0.9800775340184958
-2.8,0.6000000000000001,1,1,1,False,-0.9818507431378513
-2.8,0.7000000000000002,1,1,1,False,-0.9834764651373056
-2.8,0.8000000000000003,1,1,1,False,-0.9849651269846046
-2.8,0.9000000000000004,1,1,1,False,-0.9863267569015574
-2.8,1.0,1,1,1,False,-0.9875709295048118
-2.8,1.1000000000000005,1,1,1,False,-0.9887067294478086
-2.8,1.2000000000000002,1,1,1,False,-0.9897427302237388
-2.8,1.2999999999999998,1,1,1,False,-0.9906869852068209
-2.8,1.4000000000000004,1,1,1,False,-0.9915470284088159
-2.8,1.5,1,1,1,False,-0.9923298827993806
-2.8,1.6000000000000005,1,1,1,False,-0.9930420743768444
-2.8,1.7000000000000002,1,1,1,False,-0.9936896504779194
-2.8,1.8000000000000007,1,1,1,False,-0.9942782010804279
-2.8,1.9000000000000004,1,1,1,False,-0.9948128820837344
-2.8,2.0,1,1,1,False,-0.9952984397495314
-2.8,2.1000000000000005,1,1,1,False,-0.995739235653743
-2.8,2.2,1,1,1,False,-0.9961392716418024
-2.8,2.3000000000000007,1,1,1,False,-0.996502214397434
-2.8,2.4000000000000004,1,1,1,False,-0.9968314193324885
-2.8,2.5,1,1,1,False,-0.9971299535851006
-2.8,2.6000000000000005,1,1,1,False,-0.997400617978105
-2.8,2.7,1,1,1,False,-0.9976459678415299
-2.8,2.8000000000000007,1,1,1,False,-0.9978683326442261
-2.8,2.9000000000000004,1,1,1,False,-0.9980698344119618
-2.8,3.0,1,1,1,False,-0.9982524049342868
-2.7,-3.0,1,1,1,False,-0.8580356361147873
-2.7,-2.9,1,1,1,False,-0.8562596110843654
-2.7,-2.8,1,1,1,False,-0.8551797618606506
-2.7,-2.7,1,1,1,False,-0.854817409455885
-2.7,-2.6,1,1,1,False,-0.8551797618606506
-2.7,-2.5,1,1,1,False,-0.8562596110843654
-2.7,-2.4,1,1,1,False,-0.8580356361147873
-2.7,-2.3,1,1,1,False,-0.8604732901087354
-2.7,-2.2,1,1,1,False,-0.8635262091003555
-2.7,-2.1,1,1,1,False,-0.8671380451793391
-2.7,-2.0,1,1,1,False,-0.8712446027933093
-2.7,-1.9,1,1,1,False,-0.8757761444667128
-2.7,-1.7999999999999998,1,1,1,False,-0.8806597320897536
-2.7,-1.7,1,1,1,False,-0.8858214808004602
-2.7,-1.5999999999999999,1,1,1,False,-0.8911886219894088
-2.7,-1.5,1,1,1,False,-0.8966912970540017
-2.7,-1.4,1,1,1,False,-0.9022640310096375
-2.7,-1.2999999999999998,1,1,1,False,-0.9078468620054373
-2.7,-1.2,1,1,1,False,-0.9133861268718615
-2.7,-1.0999999999999999,1,1,1,False,-0.9188349224915581
-2.7,-1.0,1,1,1,False,-0.924153277261987
-2.7,-0.8999999999999999,1,1,1,False,-0.9293080761275793
-2.7,-0.7999999999999998,1,1,1,False,-0.9342727870475933
-2.7,-0.6999999999999997,1,1,1,False,-0.9390270371224166
-2.7,-0.5999999999999996,1,1,1,False,-0.9435560838794987
-2.7,-0.5,1,1,1,False,-0.9478502223929957
-2.7,-0.3999999999999999,1,1,1,False,-0.9519041628661694
-2.7,-0.2999999999999998,1,1,1,False,-0.9557164067828522
-2.7,-0.19999999999999973,1,1,1,False,-0.9592886433008434
-2.7,-0.09999999999999964,1,1,1,False,-0.9626251816105922
-2.7,0.0,1,1,1,False,-0.9657324297580113
-2.7,0.10000000000000009,1,1,1,False,-0.9686184260461917
-2.7,0.20000000000000018,1,1,1,False,-0.9712924256077481
-2.7,0.30000000000000027,1,1,1,False,-0.9737645420325449
-2.7,0.40000000000000036,1,1,1,False,-0.9760454419590642
-2.7,0.5,1,1,1,False,-0.9781460891856708
-2.7,0.6000000000000001,1,1,1,False,-0.9800775340184957
-2.7,0.7000000000000002,1,1,1,False,-0.9818507431378515
-2.7,0.8000000000000003,1,1,1,False,-0.9834764651373056
-2.7,0.9000000000000004,1,1,1,False,-0.9849651269846045
-2.7,1.0,1,1,1,False,-0.9863267569015574
-2.7,1.1000000000000005,1,1,1,False,-0.9875709295048118
-2.7,1.2000000000000002,1,1,1,False,-0.9887067294478086
-2.7,1.2999999999999998,1,1,1,False,-0.9897427302237388
-2.7,1.4000000000000004,1,1,1,False,-0.9906869852068209
-2.7,1.5,1,1,1,False,-0.9915470284088159
-2.7,1.6000000000000005,1,1,1,False,-0.9923298827993808
-2.7,1.7000000000000002,1,1,1,False,-0.9930420743768444
-2.7,1.8000000000000007,1,1,1,False,-0.9936896504779195
-2.7,1.9000000000000004,1,1,1,False,-0.9942782010804279
-2.7,2.0,1,1,1,False,-0.9948128820837344
-2.7,2.1000000000000005,1,1,1,False,-0.9952984397495315
-2.7,2.2,1,1,1,False,-0.995739235653743
-2.7,2.3000000000000007,1,1,1,False,-0.9961392716418023
-2.7,2.4000000000000004,1,1,1,False,-0.996502214397434
-2.7,2.5,1,1,1,False,-0.9968314193324885
-2.7,2.6000000000000005,1,1,1,False,-0.9971299535851007
-2.7,2.7,1,1,1,False,-0.997400617978105
-2.7,2.8000000000000007,1,1,1,False,-0.9976459678415301
-2.7,2.9000000000000004,1,1,1,False,-0.9978683326442261
-2.7,3.0,1,1,1,False,-0.9980698344119618
-2.6,-3.0,1,1,1,False,-0.8604732901087355
-2.6,-2.9,1,1,1,False,-0.8580356361147873
-2.6,-2.8,1,1,1,False,-0.8562596110843654
-2.6,-2.7,1,1,1,False,-0.8551797618606506
-2.6,-2.6,1,1,1,False,-0.854817409455885
-2.6,-2.5,1,1,1,False,-0.8551797618606506
-2.6,-2.4,1,1,1,False,-0.8562596110843654
-2.6,-2.3,1,1,1,False,-0.8580356361147873
-2.6,-2.2,1,1,1,False,-0.8604732901087355
-2.6,-2.1,1,1,1,False,-0.8635262091003555
-2.6,-2.0,1,1,1,False,-0.8671380451793391
-2.6,-1.9,1,1,1,False,-0.8712446027933093
-2.6,-1.7999999999999998,1,1,1,False,-0.8757761444667128
-2.6,-1.7,1,1,1,False,-0.8806597320897535
-2.6,-1.5999999999999999,1,1,1,False,-0.8858214808004602
-2.6,-1.5,1,1,1,False,-0.8911886219894087
-2.6,-1.4,1,1,1,False,-0.8966912970540017
-2.6,-1.2999999999999998,1,1,1,False,-0.9022640310096375
-2.6,-1.2,1,1,1,False,-0.9078468620054373
-2.6,-1.0999999999999999,1,1,1,False,-0.9133861268718615
-2.6,-1.0,1,1,1,False,-0.9188349224915581
-2.6,-0.8999999999999999,1,1,1,False,-0.924153277261987
-2.6,-0.7999999999999998,1,1,1,False,-0.9293080761275793
-2.6,-0.6999999999999997,1,1,1,False,-0.9342727870475933
-2.6,-0.5999999999999996,1,1,1,False,-0.9390270371224166
-2.6,-0.5,1,1,1,False,-0.9435560838794987
-2.6,-0.3999999999999999,1,1,1,False,-0.9478502223929957
-2.6,-0.2999999999999998,1,1,1,False,-0.9519041628661694
-2.6,-0.19999999999999973,1,1,1,False,-0.9557164067828522
-2.6,-0.09999999999999964,1,1,1,False,-0.9592886433008434
-2.6,0.0,1,1,1,False,-0.9626251816105921
-2.6,0.10000000000000009,1,1,1,False,-0.9657324297580113
-2.6,0.20000000000000018,1,1,1,False,-0.9686184260461917
-2.6,0.30000000000000027,1,1,1,False,-0.9712924256077481
-2.6,0.40000000000000036,1,1,1,False,-0.9737645420325449
-2.6,0.5,1,1,1,False,-0.9760454419590643
-2.6,0.6000000000000001,1,1,1,False,-0.9781460891856708
-2.6,0.7000000000000002,1,1,1,False,-0.9800775340184957
-2.6,0.8000000000000003,1,1,1,False,-0.9818507431378515
-2.6,0.9000000000000004,1,1,1,False,-0.9834764651373056
-2.6,1.0,1,1,1,False,-0.9849651269846046
-2.6,1.1000000000000005,1,1,1,False,-0.9863267569015574
-2.6,1.2000000000000002,1,1,1,False,-0.987570929504812
-2.6,1.2999999999999998,1,1,1,False,-0.9887067294478086
-2.6,1.4000000000000004,1,1,1,False,-0.9897427302237388
-2.6,1.5,1,1,1,False,-0.9906869852068209
-2.6,1.6000000000000005,1,1,1,False,-0.9915470284088158
-2.6,1.7000000000000002,1,1,1,False,-0.9923298827993808
-2.6,1.8000000000000007,1,1,1,False,-0.9930420743768444
-2.6,1.9000000000000004,1,1,1,False,-0.9936896504779194
-2.6,2.0,1,1,1,False,-0.9942782010804275
-2.6,2.1000000000000005,1,1,1,False,-0.9948128820837345
-2.6,2.2,1,1,1,False,-0.9952984397495315
-2.6,2.3000000000000007,1,1,1,False,-0.995739235653743
-2.6,2.4000000000000004,1,1,1,False,-0.9961392716418024
-2.6,2.5,1,1,1,False,-0.9965022143974344
-2.6,2.6000000000000005,1,1,1,False,-0.9968314193324885
-2.6,2.7,1,1,1,False,-0.9971299535851007
-2.6,2.8000000000000007,1,1,1,False,-0.997400617978105
-2.6,2.9000000000000004,1,1,1,False,-0.9976459678415299
-2.6,3.0,1,1,1,False,-0.9978683326442261
-2.5,-3.0,1,1,1,False,-0.8635262091003555
-2.5,-2.9,1,1,1,False,-0.8604732901087355
-2.5,-2.8,1,1,1,False,-0.8580356361147873
-2.5,-2.7,1,1,1,False,-0.8562596110843654
-2.5,-2.6,1,1,1,False,-0.8551797618606506
-2.5,-2.5,1,1,1,False,-0.854817409455885
-2.5,-2.4,1,1,1,False,-0.8551797618606506
-2.5,-2.3,1,1,1,False,-0.8562596110843654
-2.5,-2.2,1,1,1,False,-0.8580356361147873
-2.5,-2.1,1,1,1,False,-0.8604732901087355
-2.5,-2.0,1,1,1,False,-0.8635262091003555
-2.5,-1.9,1,1,1,False,-0.8671380451793391
-2.5,-1.7999999999999998,1,1,1,False,-0.8712446027933093
-2.5,-1.7,1,1,1,False,-0.8757761444667127
-2.5,-1.5999999999999999,1,1,1,False,-0.8806597320897535
-2.5,-1.5,1,1,1,False,-0.8858214808004602
-2.5,-1.4,1,1,1,False,-0.8911886219894087
-2.5,-1.2999999999999998,1,1,1,False,-0.8966912970540017
-2.5,-1.2,1,1,1,False,-0.9022640310096375
-2.5,-1.0999999999999999,1,1,1,False,-0.9078468620054373
-2.5,-1.0,1,1,1,False,-0.9133861268718615
-2.5,-0.8999999999999999,1,1,1,False,-0.9188349224915581
-2.5,-0.7999999999999998,1,1,1,False,-0.924153277261987
-2.5,-0.6999999999999997,1,1,1,False,-0.9293080761275793
-2.5,-0.5999999999999996,1,1,1,False,-0.9342727870475933
-2.5,-0.5,1,1,1,False,-0.9390270371224165
-2.5,-0.3999999999999999,1,1,1,False,-0.9435560838794987
-2.5,-0.2999999999999998,1,1,1,False,-0.9478502223929957
-2.5,-0.19999999999999973,1,1,1,False,-0.9519041628661694
-2.5,-0.09999999999999964,1,1,1,False,-0.9557164067828522
-2.5,0.0,1,1,1,False,-0.9592886433008436
-2.5,0.10000000000000009,1,1,1,False,-0.9626251816105921
-2.5,0.20000000000000018,1,1,1,False,-0.9657324297580113
-2.5,0.30000000000000027,1,1,1,False,-0.9686184260461917
-2.5,0.40000000000000036,1,1,1,False,-0.9712924256077481
-2.5,0.5,1,1,1,False,-0.9737645420325446
-2.5,0.6000000000000001,1,1,1,False,-0.9760454419590643
-2.5,0.7000000000000002,1,1,1,False,-0.9781460891856708
-2.5,0.8000000000000003,1,1,1,False,-0.9800775340184957
-2.5,0.9000000000000004,1,1,1,False,-0.9818507431378515
-2.5,1.0,1,1,1,False,-0.9834764651373056
-2.5,1.1000000000000005,1,1,1,False,-0.9849651269846045
-2.5,1.2000000000000002,1,1,1,False,-0.9863267569015574
-2.5,1.2999999999999998,1,1,1,False,-0.9875709295048118
-2.5,1.4000000000000004,1,1,1,False,-0.9887067294478086
-2.5,1.5,1,1,1,False,-0.9897427302237388
-2.5,1.6000000000000005,1,1,1,False,-0.9906869852068209
-2.5,1.7000000000000002,1,1,1,False,-0.9915470284088159
-2.5,1.8000000000000007,1,1,1,False,-0.9923298827993808
-2.5,1.9000000000000004,1,1,1,False,-0.9930420743768444
-2.5,2.0,1,1,1,False,-0.9936896504779194
-2.5,2.1000000000000005,1,1,1,False,-0.9942782010804279
-2.5,2.2,1,1,1,False,-0.9948128820837344
-2.5,2.3000000000000007,1,1,1,False,-0.9952984397495315
-2.5,2.4000000000000004,1,1,1,False,-0.995739235653743
